expand href,column-occurred,column-city,column-state,column-country,column-shape,column-summary,column-reported,column-hasimage,column-explanation
https://nuforc.org/sighting/?id=185608,07/30/2023 02:00,Hardwick,VT,USA,Circle,Scared me. It was round in shape and was lit up all the way around. It hovered above the river.,12/18/2024,,
https://nuforc.org/sighting/?id=177085,07/29/2023 00:20,Worksop,Nottinghamshire,United Kingdom,Disk,Flying saucer with red lights.,07/28/2023,,
https://nuforc.org/sighting/?id=177268,07/29/2023 00:02,Kongens Lyngby,Capital Region of Denmark,Denmark,Cigar,Five cigar shaped craft in the sky,07/29/2023,,
https://nuforc.org/sighting/?id=178180,07/28/2023 21:00,Santa Barbara,CA,USA,Triangle,"Huge triangular ship ""glides"" overhead and disappears to the North. Clear video obtained.",09/09/2023,Y,
https://nuforc.org/sighting/?id=182053,07/27/2023 20:35,Pearl,MS,USA,Changing,Strange Craft Playing Hide and Seek with Military Craft,06/26/2024,,
https://nuforc.org/sighting/?id=180937,07/27/2023 20:35,Pearl,MS,USA,Changing,Strange craft playing hide and seek with military craft.,03/26/2024,,
https://nuforc.org/sighting/?id=178341,07/25/2023 23:00,Powell Junction,ID,USA,Chevron,“V” shaped craft with orange and red lights,09/16/2023,Y,
https://nuforc.org/sighting/?id=177081,07/25/2023 02:05,sacramento,CA,USA,Triangle,Silent-more of a slight gush of wind/ triangular object/maybe size of jet/maybe quarter of mile high??,07/28/2023,,
https://nuforc.org/sighting/?id=177013,07/24/2023 21:30,North Myrtle Beach,SC,USA,Light,Light that at first appeared as a satellite that instantly made a 120-deg turn & accelerated away,07/26/2023,,
https://nuforc.org/sighting/?id=177494,07/24/2023 09:45,Ouray,CO,USA,Oval,White silent oval 60 degrees above ground visible from the 3rd Floor,08/10/2023,,
https://nuforc.org/sighting/?id=176964,07/24/2023 01:30,Wetmore,MI,USA,Sphere,"Spherical object, varying heights and speeds, seemingly responsive to our presence.",07/26/2023,,
